province;red;green;blue;x;x
248;6;106;6;Jinyingu;x
249;72;151;72;Chijia;x
250;92;119;53;Ulan;x
251;88;135;15;Tongpuzhen;x
252;72;95;37;Qingxin;x
253;79;108;35;Senlin;x
254;110;162;29;Daishan;x
255;107;156;32;Hong Chen;x
256;87;123;33;Jianghe;x
257;73;107;22;Tianjun;x
258;118;165;49;Delongcun;x
259;115;171;43;Long'a;x
260;98;151;17;Zhashi;x
261;112;158;38;Gaolan;x
262;105;130;65;Xiatu Desert;x
263;87;120;36;Xiwan;x
264;103;146;35;Muli;x
265;123;178;36;Jinchang;x
266;122;155;69;South Serpent;x
267;80;121;17;Dahaizi;x
268;116;167;36;Zhaojia;x
269;76;111;22;Tujingzi;x
270;89;144;17;Datan;x
271;92;129;47;Xiwa;x
272;63;100;17;Yangwa;x
273;118;152;74;Xitaozi;x
274;97;142;38;Dalaozi;x
275;136;143;54;Wujiaqu;x
276;178;186;81;Mengjin;x
277;107;110;18;Tuwuda;x
278;217;210;147;Manas;x
279;200;210;77;Tuanjie;x
280;135;139;21;Jinghe;x
281;142;151;44;Gao Si Wong;x
282;71;125;45;Jiapigou;x
283;125;166;51;Nanwazi;x
284;154;157;68;Yizhidifang;x
285;171;174;88;Qidifang;x
286;160;168;68;Nankouzi;x
287;172;185;16;Xiaohaizi;x
288;126;132;56;Sunan;x
289;107;162;60;Heishaliao;x
290;212;216;90;Yematan;x
291;217;229;62;Heigou Kouzi;x
292;170;177;78;Daquan;x
293;132;169;68;Caijiahe;x
294;115;141;68;Caihecun;x
295;175;210;110;Daoliushui;x
296;150;201;57;Liujiawan;x
297;97;131;35;Yuantaizi;x
298;169;173;56;Kuqa;x
299;177;179;105;Wuzunzhen;x
300;114;118;29;Wuqiazhen;x
301;220;218;25;Yahazhen;x
302;130;140;9;Tasala;x
303;106;110;69;Ye'er Ganake;x
304;163;171;66;Teng;x
305;170;177;26;Kuqi;x
306;205;213;19;Ya Kasayi;x
307;182;194;40;Luzhou;x
308;145;155;38;Gong Bailisi;x
309;102;174;38;Omashu;x
310;110;143;82;Xiejia;x
311;110;144;65;Gujia;x
312;135;164;96;Suijialing;x
313;68;126;18;Yangxi;x
314;97;118;70;Dahai;x
315;150;211;89;Zaofu;x
316;126;181;55;Jiangcheng;x
317;96;181;80;Beisu;x
318;53;146;101;Bianzhou;x
319;83;169;103;Gulou;x
320;85;194;124;Tonglu;x
321;47;143;96;Xinyang;x
322;77;155;105;Wulizhen;x
323;62;144;64;Chang'an;x
324;32;114;74;Niushan;x
325;13;140;109;Hongxie;x
326;0;199;150;The Foggy Swamp;x
327;55;176;146;Hongxie;x
328;39;141;116;Niushan;x
329;41;160;103;Mojiang;x
330;24;127;101;Xinzhai;x
331;66;161;115;Dashan;x
332;35;107;72;Lale;x
333;59;142;102;Shani;x
334;33;137;87;Biena;x
335;91;185;140;Najiu;x
336;31;170;103;Chin;x
337;43;210;129;Zhudao;x
338;13;101;59;Shangwan;x
339;15;132;76;Manlincun;x
340;41;108;12;Gaoling;x
341;81;174;38;Houpo;x
342;87;143;61;Baidapo;x
343;47;136;7;Yongji;x
344;74;130;25;Nanzhaizi;x
345;74;148;9;Magou;x
346;95;195;48;Yanxicun;x
347;41;101;14;Dongdi;x
348;92;165;59;Ruicheng;x
349;61;203;107;Zhaoyang;x
350;42;161;104;Zhouzhi;x
351;99;198;150;Sangzhen;x
352;21;137;81;Meixian;x
353;155;175;57;Zhaibei;x
354;124;146;18;Litang;x
355;127;141;59;Shankou;x
356;94;112;13;Luwu;x
357;112;126;51;Yuexi;x
358;125;145;38;Ganbazi;x
359;119;140;23;Aoshang;x
360;97;164;67;Sanya;x
361;57;124;27;Macun;x
362;96;157;68;Haikou;x
363;105;168;77;Meilan;x
364;58;114;33;Jinnanyuan;x
365;70;137;39;Jun'an;x
366;93;133;53;Yunyu;x
367;39;106;8;Qunli;x
368;61;101;26;Renxin;x
369;95;135;60;Glory;x
370;120;158;87;Xida;x
371;102;147;62;Huanglvezhen;x
372;73;151;4;Suixi;x
373;116;161;75;Qingjian;x
374;83;155;19;Chenping;x
375;59;112;13;Suxu;x
376;94;139;53;Tongdoa;x
377;99;168;38;Tagjia;x
378;115;155;80;Pinguo;x
379;114;164;70;Yewei;x
380;111;177;53;Bala;x
381;46;151;120;Chiayi;x
382;35;192;146;Penghu;x
383;42;217;165;Miaoli;x
384;65;121;104;Shei-Pa;x
385;25;153;115;Nantou;x
386;45;138;111;Taroko;x
387;91;169;146;Karokou;x
388;100;153;138;Yonaguni;x
389;21;188;104;Kyoshi Island;x
390;191;178;229;North Moon Bay;x
391;160;142;213;Artic Coast;x
392;82;50;176;Frozen Coast;x
393;172;151;234;Artic Coast;x
394;140;126;182;Artic Coast;x
395;121;92;206;Artic Coast;x
396;118;101;168;North Sea;x
397;88;61;168;North Sea;x
398;134;119;181;North Sea;x
399;150;140;178;North Earth Coast;x
400;130;126;142;North Earth Coast;x
401;128;96;222;North Earth Coast;x
402;134;117;232;North Earth Coast;x
403;141;131;203;North Earth Coast;x
404;88;68;218;North Earth Coast;x
405;108;94;199;North Earth Coast;x
406;111;83;194;West Earth Coast;x
407;175;171;235;Twin Bays;x
408;183;174;211;West Air Coast;x
409;143;131;183;West Air Coast;x
410;164;146;221;West Air Coast;x
411;115;86;206;Wind Bay;x
412;129;113;178;West Air Coast;x
413;122;99;193;Aztlan Sea;x
414;98;84;143;North Fire Coast;x
415;92;65;175;Ember Sea;x
416;90;49;217;Fire Gates;x
417;108;86;174;Dragon Bay;x
418;134;126;158;Dragon Bay;x
419;139;121;195;Dragon Bay;x
420;151;124;233;Dragon Bay;x
421;172;160;211;Burning Channel;x
422;46;38;156;Amami Sea;x
423;130;122;244;Koloa and Ishigaki;x
424;96;88;194;Penghu Islands;x
425;51;43;152;Far Islands;x
426;84;73;220;Amami Straits;x
427;43;100;205;Hono Sea;x
428;111;150;221;Hono Sound;x
429;106;143;212;Cape of Fire;x
430;120;90;216;West Fire Sea;x
431;75;39;192;West Fire Sea;x
432;123;96;208;West Fire Sea;x
433;119;154;219;Mo Ce Sea;x
434;126;119;226;Mo Ce Sea;x
435;24;15;150;Mo Ce Sea;x
436;193;190;232;Mo Ce Sea;x
437;120;116;165;Yue Bay;x
438;108;99;230;Broken Bays;x
439;115;110;190;Mo Ce Sea;x
440;86;78;194;Xifang Cape;x
441;69;59;211;Outer Penghu;x
442;143;136;236;Fire Approach;x
443;171;165;238;Boiling Basin;x
444;57;49;165;Xifang Coast;x
445;28;91;207;Nagar Sea;x
446;121;141;177;Red Bay;x
447;70;121;215;Jianjiang Bay;x
448;58;105;191;Nip Sea;x
449;137;133;210;Swamp Bay;x
450;143;140;188;Gangpai River;x
451;122;154;211;Blue Sea;x
452;108;126;158;Straits of Kyoshi;x
453;127;156;210;Kyoshi Sea;x
454;78;130;226;Whaletail Sea;x
455;180;203;246;Whaletail Channle;x
456;90;117;167;Whaletail Cape;x
457;50;110;219;Whaletail Straits;x
458;143;150;161;Gao Bay;x
459;62;47;205;Burning Sea;x
460;59;51;140;Burning Sea;x
461;100;92;174;Burning Sea;x
462;89;129;204;Burning Sea;x
463;127;156;208;Burning Sea;x
464;90;137;224;Southen Air Coast;x
465;56;102;187;Southen Air Coast;x
466;43;107;226;Southen Air Coast;x
467;74;104;160;Southen Air Coast;x
468;52;106;205;Southen Air Coast;x
469;26;73;157;Southen Air Coast;x
470;15;75;184;Southen Air Coast;x
471;13;59;142;Southen Air Coast;x
472;63;115;211;Southen Air Coast;x
473;156;185;237;Southen Air Coast;x
474;20;55;156;Southen Air Coast;x
475;17;66;205;South Sea;x
476;16;35;65;South Sea;x
477;32;76;203;South Sea;x
478;38;63;101;South Sea;x
479;65;67;155;Boho Straits;x
480;66;69;194;South Sea;x
481;145;184;243;South Sea;x
482;164;201;255;South Sea;x
483;105;134;177;South Sea;x
484;38;111;221;South Sea;x
485;70;139;243;South Sea;x
486;86;144;232;South Sea;x
487;92;99;203;Zhenhai Bay;x
488;32;35;147;South Sea;x
489;117;110;130;South Water Coast;x
490;111;55;213;South Water Coast;x
491;193;182;211;South Water Coast;x
492;86;37;176;South Water Coast;x
493;141;89;235;South Water Coast;x
494;161;134;211;South Water Coast;x
495;174;142;232;Southen Water Bay;x
496;119;111;134;South Water Coast;x
497;45;97;175;East Air Coast;x
498;33;109;223;East Air Coast;x
499;82;67;224;East Air Coast;x
500;92;154;246;Airbender Channel;x
501;19;82;176;Southen Approach;x
502;93;91;141;East Coast;x
503;122;120;151;Langwokou Bay;x
504;100;96;188;East Coast;x
505;82;78;165;Shiguai Channel;x
506;94;88;203;East Sea;x
507;65;57;209;Kuka Strait;x
508;163;160;231;Feicui Sea;x
509;90;86;168;Feicui Sea;x
510;109;106;168;Feicui Sea;x
511;106;101;201;Feicui Sea;x
512;88;86;126;Feicui Sea;x
513;134;128;221;Feicui Sea;x
514;74;77;109;East Sea;x
515;89;74;234;Tufu Strait;x
516;0;0;255;Lake Laogai;x
517;86;35;236;Air River;x
518;152;145;176;Fire Serpent River;x
519;144;139;204;East Yue;x
520;158;139;214;Blue River;x
521;191;176;238;Xifang River;x
522;134;132;168;Da Xijiang;x
523;103;101;132;Da Xijiang;x
524;117;113;168;Da Xijiang;x
525;96;92;146;West Lake;x
526;157;153;221;Serpent Pass;x
527;96;92;168;East Lake;x
528;169;166;228;Da Dongjiang;x
529;154;150;210;Yellow River;x
530;148;145;188;Green River;x
531;128;127;153;Green River;x
532;128;123;208;Red River;x
533;118;113;198;Gaoling River;x
534;104;101;154;Red River;x
535;157;154;210;Red River;x
536;147;143;225;Jianjiang River;x
537;139;138;178;Majia River;x
538;119;115;202;Tuhai River;x
539;128;124;168;Yamantaka River;x
540;55;186;41;Sasakimura;x
541;113;210;145;Yamada;x
542;0;41;14;Yamadan;x
543;0;126;42;Kyousou;x
544;23;136;60;Yonten;x
545;246;184;18;Rinchen;x
546;186;107;30;Lotsawa;x
547;154;117;64;Nyingpo;x
548;203;147;68;Oandita;x
549;255;222;91;Pakshi;x
550;224;186;33;Lingpa;x
551;147;118;0;Nyima;x
552;239;205;70;Yuthok;x
553;20;69;131;Imiijauti;x
554;15;102;208;Imaaqpaa;x
555;19;122;160;Sanngijuq;x
556;4;139;189;Asavara;x
557;42;192;248;Aquijuq;x
558;69;108;162;Niriq;x
559;78;136;215;Taima;x
560;67;101;111;Qallut;x
561;47;127;150;Kauraut;x
562;0;108;143;Ublaami;x
563;48;141;172;Inupiatun;x
564;32;175;125;Nunavut;x
565;48;156;178;Atauhiq;x
566;24;129;159;Quana;x
567;112;53;220;South Water Coast;x
568;171;152;87;Whaletail Island;x
569;46;59;55;Xi Longa;x
570;16;174;128;Kwon;x
571;21;118;90;Yang;x
572;55;126;105;Namgung;x
573;56;107;92;Pion;x
574;20;130;116;Tonh;x
575;77;176;147;Chwa;x
576;79;106;76;Republic City;x
577;118;123;65;Musar;x
578;118;83;0;Temi;x
579;171;166;126;Nadvi;x
580;172;183;54;Umar;x
581;102;150;39;Anwar;x
582;229;180;62;Marin;x
583;177;118;26;Abdo;x
584;213;156;19;Naji;x
585;194;131;40;Wahee;x
586;118;71;29;Hannach;x
587;115;212;0;Awooga;x
588;129;205;186;Oshta;x
589;145;244;38;Kuzko;x
590;106;200;44;Kasama;x
591;97;176;12;Iwata;x
592;137;241;68;Ilao;x
593;89;207;10;Ecchi;x
594;126;160;43;Sheto;x
